Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  3  ,  3  ,  3.0  ,  1.33333333333  ,  3.0  ,  1.99751  ,  4  ,  9  ,  5.99253  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  4  ,  4  ,  4.0  ,  1.25  ,  3.0  ,  2.37484  ,  5  ,  12  ,  9.49936  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  5  ,  5  ,  5.0  ,  2.0  ,  2.8  ,  2.400086  ,  10  ,  14  ,  12.00043  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  6  ,  6  ,  6.0  ,  1.83333333333  ,  2.66666666667  ,  2.24964  ,  11  ,  16  ,  13.49784  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  7  ,  7  ,  7.0  ,  1.71428571429  ,  2.57142857143  ,  2.14299571429  ,  12  ,  18  ,  15.00097  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  8  ,  8  ,  8.0  ,  1.625  ,  2.5  ,  2.0622175  ,  13  ,  20  ,  16.49774  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  9  ,  9  ,  9.0  ,  1.55555555556  ,  3.44444444444  ,  2.11053777778  ,  14  ,  31  ,  18.99484  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  10  ,  10  ,  10.0  ,  1.5  ,  3.4  ,  2.251222  ,  15  ,  34  ,  22.51222  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  11  ,  11  ,  11.0  ,  1.45454545455  ,  3.36363636364  ,  2.35976636364  ,  16  ,  37  ,  25.95743  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  12  ,  12  ,  12.0  ,  1.41666666667  ,  3.33333333333  ,  2.45721166667  ,  17  ,  40  ,  29.48654  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  13  ,  13  ,  13.0  ,  1.38461538462  ,  3.30769230769  ,  2.53594230769  ,  18  ,  43  ,  32.96725  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  14  ,  14  ,  14.0  ,  1.35714285714  ,  3.28571428571  ,  2.60612071429  ,  19  ,  46  ,  36.48569  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  15  ,  15  ,  15.0  ,  1.33333333333  ,  3.26666666667  ,  2.667212  ,  20  ,  49  ,  40.00818  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  16  ,  16  ,  16.0  ,  1.3125  ,  3.25  ,  2.719111875  ,  21  ,  52  ,  43.50579  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  17  ,  17  ,  17.0  ,  2.23529411765  ,  3.17647058824  ,  2.70516647059  ,  38  ,  54  ,  45.98783  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  18  ,  18  ,  18.0  ,  2.16666666667  ,  3.11111111111  ,  2.63919666667  ,  39  ,  56  ,  47.50554  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  19  ,  19  ,  19.0  ,  2.10526315789  ,  3.05263157895  ,  2.57997631579  ,  40  ,  58  ,  49.01955  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  20  ,  20  ,  20.0  ,  2.05  ,  3.0  ,  2.5249105  ,  41  ,  60  ,  50.49821  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  21  ,  21  ,  21.0  ,  2.0  ,  2.95238095238  ,  2.47788857143  ,  42  ,  62  ,  52.03566  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  22  ,  22  ,  22.0  ,  1.95454545455  ,  2.90909090909  ,  2.43139409091  ,  43  ,  64  ,  53.49067  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  23  ,  23  ,  23.0  ,  1.91304347826  ,  2.86956521739  ,  2.39236130435  ,  44  ,  66  ,  55.02431  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  24  ,  24  ,  24.0  ,  1.875  ,  2.83333333333  ,  2.35364541667  ,  45  ,  68  ,  56.48749  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  25  ,  25  ,  25.0  ,  1.84  ,  2.8  ,  2.3195084  ,  46  ,  70  ,  57.98771  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  26  ,  26  ,  26.0  ,  1.80769230769  ,  2.76923076923  ,  2.28857692308  ,  47  ,  72  ,  59.503  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  27  ,  27  ,  27.0  ,  1.77777777778  ,  2.74074074074  ,  2.25983111111  ,  48  ,  74  ,  61.01544  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  28  ,  28  ,  28.0  ,  1.75  ,  2.71428571429  ,  2.23192071429  ,  49  ,  76  ,  62.49378  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  29  ,  29  ,  29.0  ,  1.72413793103  ,  2.68965517241  ,  2.20833310345  ,  50  ,  78  ,  64.04166  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  30  ,  30  ,  30.0  ,  1.7  ,  2.66666666667  ,  2.18431066667  ,  51  ,  80  ,  65.52932  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  0  ,  0  ,  0.0  ,  31  ,  31  ,  31.0  ,  1.67741935484  ,  2.64516129032  ,  2.16237806452  ,  52  ,  82  ,  67.03372  ,

PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  3  ,  3  ,  3.0  ,  1.33333333333  ,  1.66666666667  ,  1.49934  ,  8  ,  10  ,  8.99604  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  4  ,  4  ,  4.0  ,  1.28571428571  ,  1.71428571429  ,  1.50041  ,  9  ,  12  ,  10.50287  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  5  ,  5  ,  5.0  ,  1.25  ,  1.75  ,  1.49991  ,  10  ,  14  ,  11.99928  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  6  ,  6  ,  6.0  ,  1.22222222222  ,  1.77777777778  ,  1.49961444444  ,  11  ,  16  ,  13.49653  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  7  ,  7  ,  7.0  ,  1.2  ,  1.8  ,  1.499807  ,  12  ,  18  ,  14.99807  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  8  ,  8  ,  8.0  ,  1.18181818182  ,  1.81818181818  ,  1.49911272727  ,  13  ,  20  ,  16.49024  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  9  ,  9  ,  9.0  ,  1.16666666667  ,  2.58333333333  ,  1.58366666667  ,  14  ,  31  ,  19.004  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  10  ,  10  ,  10.0  ,  1.15384615385  ,  2.61538461538  ,  1.73159230769  ,  15  ,  34  ,  22.5107  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  11  ,  11  ,  11.0  ,  1.14285714286  ,  2.64285714286  ,  1.85612142857  ,  16  ,  37  ,  25.9857  ,
