Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.64  ,  2.4  ,  2.0206692  ,  41  ,  60  ,  50.51673  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  2 ,  64.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.64  ,  2.36  ,  1.8788192  ,  41  ,  59  ,  46.97048  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  4 ,  128.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.64  ,  2.32  ,  1.7676816  ,  41  ,  58  ,  44.19204  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  1 ,  64.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.32  ,  1.6  ,  1.4598984  ,  33  ,  40  ,  36.49746  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  2 ,  128.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.32  ,  1.6  ,  1.40051  ,  33  ,  40  ,  35.01275  ,
PacketMinSketch ,  32 ,  4 ,  2 ,  4 ,  256.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.32  ,  1.56  ,  1.3582492  ,  33  ,  39  ,  33.95623  ,
PacketMinSketch ,  32 ,  4 ,  3 ,  1 ,  96.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.24  ,  1.4  ,  1.3199156  ,  31  ,  35  ,  32.99789  ,
PacketMinSketch ,  32 ,  4 ,  3 ,  2 ,  192.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.24  ,  1.4  ,  1.2816032  ,  31  ,  35  ,  32.04008  ,
PacketMinSketch ,  32 ,  4 ,  3 ,  4 ,  384.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.24  ,  1.4  ,  1.2587216  ,  31  ,  35  ,  31.46804  ,
PacketMinSketch ,  32 ,  4 ,  4 ,  1 ,  128.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.16  ,  1.28  ,  1.2200152  ,  29  ,  32  ,  30.50038  ,
PacketMinSketch ,  32 ,  4 ,  4 ,  2 ,  256.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.16  ,  1.28  ,  1.1897032  ,  29  ,  32  ,  29.74258  ,
PacketMinSketch ,  32 ,  4 ,  4 ,  4 ,  512.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.16  ,  1.28  ,  1.1728664  ,  29  ,  32  ,  29.32166  ,
PacketMinSketch ,  32 ,  4 ,  5 ,  1 ,  160.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.16  ,  1.24  ,  1.2000116  ,  29  ,  31  ,  30.00029  ,
PacketMinSketch ,  32 ,  4 ,  5 ,  2 ,  320.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.16  ,  1.24  ,  1.178592  ,  29  ,  31  ,  29.4648  ,
PacketMinSketch ,  32 ,  4 ,  5 ,  4 ,  640.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.16  ,  1.24  ,  1.1673344  ,  29  ,  31  ,  29.18336  ,
PacketMinSketch ,  32 ,  4 ,  6 ,  1 ,  192.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.12  ,  1.2  ,  1.159986  ,  28  ,  30  ,  28.99965  ,
PacketMinSketch ,  32 ,  4 ,  6 ,  2 ,  384.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.12  ,  1.2  ,  1.13865  ,  28  ,  30  ,  28.46625  ,
PacketMinSketch ,  32 ,  4 ,  6 ,  4 ,  768.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.12  ,  1.2  ,  1.1273864  ,  28  ,  30  ,  28.18466  ,
PacketMinSketch ,  32 ,  4 ,  7 ,  1 ,  224.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.12  ,  1.16  ,  1.1401436  ,  28  ,  29  ,  28.50359  ,
PacketMinSketch ,  32 ,  4 ,  7 ,  2 ,  448.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.12  ,  1.16  ,  1.12862  ,  28  ,  29  ,  28.2155  ,
PacketMinSketch ,  32 ,  4 ,  7 ,  4 ,  896.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.12  ,  1.16  ,  1.1225616  ,  28  ,  29  ,  28.06404  ,
PacketMinSketch ,  32 ,  4 ,  8 ,  1 ,  256.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.08  ,  1.12  ,  1.1000588  ,  27  ,  28  ,  27.50147  ,
PacketMinSketch ,  32 ,  4 ,  8 ,  2 ,  512.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.08  ,  1.12  ,  1.0885612  ,  27  ,  28  ,  27.21403  ,
PacketMinSketch ,  32 ,  4 ,  8 ,  4 ,  1024.0  ,  100000 ,  1 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  1.08  ,  1.12  ,  1.0824656  ,  27  ,  28  ,  27.06164  ,


