LoopVal, B, b, Hops
2,1,2,28
2,2,2,29
2,3,2,26
2,4,2,29
3,1,2,33
3,2,2,34
3,3,2,31
3,4,2,32
4,1,2,35
4,2,2,32
4,3,2,32
4,4,2,33
5,1,2,42
5,2,2,43
5,3,2,33
5,4,2,35
9,1,2,62
9,2,2,44
9,3,2,46
9,4,2,47
10,1,2,46
10,2,2,46
10,3,2,47
10,4,2,48
11,1,2,48
11,2,2,48
11,3,2,50
11,4,2,51
12,1,2,50
12,2,2,50
12,3,2,64
12,4,2,65
13,1,2,65
13,2,2,65
13,3,2,67
13,4,2,68
2,1,3,30
2,2,3,29
2,3,3,24
2,4,3,29
3,1,3,30
3,2,3,31
3,3,3,31
3,4,3,32
4,1,3,31
4,2,3,32
4,3,3,32
4,4,3,33
5,1,3,32
5,2,3,33
5,3,3,43
5,4,3,40
9,1,3,44
9,2,3,44
9,3,3,46
9,4,3,47
10,1,3,46
10,2,3,46
10,3,3,47
10,4,3,48
11,1,3,48
11,2,3,48
11,3,3,50
11,4,3,51
12,1,3,50
12,2,3,50
12,3,3,52
12,4,3,53
13,1,3,52
13,2,3,52
13,3,3,54
13,4,3,55
2,1,4,28
2,2,4,31
2,3,4,24
2,4,4,29
3,1,4,33
3,2,4,31
3,3,4,31
3,4,4,32
4,1,4,31
4,2,4,32
4,3,4,32
4,4,4,33
5,1,4,37
5,2,4,33
5,3,4,33
5,4,4,50
9,1,4,53
9,2,4,53
9,3,4,37
9,4,4,38
10,1,4,56
10,2,4,56
10,3,4,57
10,4,4,38
11,1,4,59
11,2,4,59
11,3,4,39
11,4,4,40
12,1,4,62
12,2,4,62
12,3,4,40
12,4,4,41
13,1,4,65
13,2,4,65
13,3,4,41
13,4,4,42
2,1,5,28
2,2,5,29
2,3,5,26
2,4,5,29
3,1,5,33
3,2,5,34
3,3,5,31
3,4,5,32
4,1,5,35
4,2,5,32
4,3,5,32
4,4,5,33
5,1,5,37
5,2,5,38
5,3,5,33
5,4,5,35
9,1,5,44
9,2,5,44
9,3,5,46
9,4,5,38
10,1,5,46
10,2,5,46
10,3,5,47
10,4,5,48
11,1,5,48
11,2,5,48
11,3,5,50
11,4,5,40
12,1,5,50
12,2,5,50
12,3,5,52
12,4,5,41
13,1,5,52
13,2,5,52
13,3,5,67
13,4,5,42
2,1,6,28
2,2,6,29
2,3,6,24
2,4,6,31
3,1,6,30
3,2,6,34
3,3,6,34
3,4,6,32
4,1,6,35
4,2,6,36
4,3,6,36
4,4,6,33
5,1,6,37
5,2,6,38
5,3,6,38
5,4,6,35
9,1,6,44
9,2,6,44
9,3,6,46
9,4,6,47
10,1,6,46
10,2,6,46
10,3,6,47
10,4,6,48
11,1,6,48
11,2,6,48
11,3,6,50
11,4,6,51
12,1,6,50
12,2,6,50
12,3,6,52
12,4,6,53
13,1,6,52
13,2,6,52
13,3,6,54
13,4,6,55
2,1,7,28
2,2,7,29
2,3,7,24
2,4,7,29
3,1,7,30
3,2,7,31
3,3,7,34
3,4,7,35
4,1,7,35
4,2,7,36
4,3,7,36
4,4,7,37
5,1,7,37
5,2,7,38
5,3,7,38
5,4,7,40
9,1,7,44
9,2,7,44
9,3,7,46
9,4,7,47
10,1,7,46
10,2,7,46
10,3,7,47
10,4,7,48
11,1,7,48
11,2,7,48
11,3,7,50
11,4,7,51
12,1,7,50
12,2,7,50
12,3,7,52
12,4,7,53
13,1,7,52
13,2,7,52
13,3,7,54
13,4,7,55
2,1,8,28
2,2,8,29
2,3,8,24
2,4,8,29
3,1,8,30
3,2,8,31
3,3,8,31
3,4,8,35
4,1,8,31
4,2,8,36
4,3,8,36
4,4,8,37
5,1,8,37
5,2,8,38
5,3,8,38
5,4,8,40
9,1,8,44
9,2,8,44
9,3,8,46
9,4,8,47
10,1,8,46
10,2,8,46
10,3,8,47
10,4,8,48
11,1,8,48
11,2,8,48
11,3,8,50
11,4,8,51
12,1,8,50
12,2,8,50
12,3,8,52
12,4,8,53
13,1,8,52
13,2,8,52
13,3,8,54
13,4,8,55
2,1,9,28
2,2,9,29
2,3,9,24
2,4,9,29
3,1,9,30
3,2,9,31
3,3,9,31
3,4,9,32
4,1,9,31
4,2,9,32
4,3,9,32
4,4,9,37
5,1,9,42
5,2,9,38
5,3,9,38
5,4,9,40
9,1,9,44
9,2,9,44
9,3,9,46
9,4,9,47
10,1,9,46
10,2,9,46
10,3,9,47
10,4,9,48
11,1,9,48
11,2,9,48
11,3,9,50
11,4,9,51
12,1,9,50
12,2,9,50
12,3,9,52
12,4,9,53
13,1,9,52
13,2,9,52
13,3,9,54
13,4,9,55
